Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
1,0.445719164,61.8,2649.1,109.0164609,1.868312757,47,0.323361823,0.513192906,0.508641975,215
2,0.446452881,48.46666667,2077.366667,116.9249531,1.977485929,32.33333333,1.277777778,0.572180356,0.545590994,300
3,0.452805532,65.66666667,2818.3,108.8146718,1.953667954,51.83333333,0.348484848,0.476192215,0.507078507,202
4,0.386529665,38.2,956.9666667,122.1659574,3.906382979,41.16666667,4.227642276,1.344364358,0.975319149,295
5,0.449239423,60.4,2688.666667,148.2720588,2.544117647,41,1.19470405,0.635912519,0.666176471,326
6,0.380886453,20.73333333,391.3666667,148.6202532,7.392405063,122.5,99.83333333,10.17073444,1.574683544,611
7,0.523475511,156.4,16647.06667,541.6616052,3.973969631,84,0.770538244,0.738610917,1.017787419,567
8,0.446338012,67.66666667,3476.166667,320.8769231,5.889230769,119.5,3.890070922,2.363399417,1.249230769,626
9,0.420374966,64,3754.666667,461.6393443,6.081967213,117,10.45045045,3.092750146,1.573770492,616
10,0.398044938,41.86666667,1236.266667,148.352,3.84,43.16666667,3.98245614,1.179213297,1.0048,290
11,0.450623283,109.8,10046.3,504.839196,4.020100503,50,1.623287671,0.672257559,1.103517588,376
12,0.441112765,58.93333333,2469.6,199.1612903,3.935483871,68.83333333,2.738853503,1.553291311,0.950537634,573
13,0.441250764,64.53333333,2826.266667,221.9581152,3.937172775,70.33333333,2.88045977,1.524828101,1.013612565,573
14,0.46015061,107.8,7776.7,358.3732719,3.705069124,60,1.072222222,0.655602728,0.993548387,384
15,0.480715001,119.8666667,10405.06667,396.1319797,3.319796954,60.83333333,0.834019204,0.57164804,0.912690355,391
16,0.447225791,59.4,2524.566667,144.8126195,2.393881453,40.66666667,1.307550645,0.644243143,0.681453155,322
17,0.477205802,63.8,3059.766667,91.51844467,1.659022931,57.16666667,0.431235431,0.413662615,0.381655035,184
18,0.484892266,113.0666667,8744,390.3571429,4,77.66666667,1.281853282,0.939411317,1.00952381,569
19,0.434030225,52.53333333,1911.6,130.9315068,2.493150685,37.16666667,1.775510204,0.702903485,0.719634703,295
20,0.448211975,62.73333333,2921.9,119.2612245,2,56.83333333,0.361356932,0.56738609,0.512108844,234
21,0.477320083,72.13333333,4462,172.9457364,2.062015504,37.83333333,0.660958904,0.476674154,0.559173127,341
22,0.472433162,87.4,5747.766667,298.8440208,3.958405546,72.66666667,1.431145431,1.05255111,0.908838821,572
23,0.559572932,164.0666667,21788.56667,573.8867428,3.978928885,90.16666667,0.425855513,0.65198147,0.864266901,550
24,0.424871662,106.4666667,12314.96667,949.7403599,6.884318766,75.5,7.147435897,1.430362004,1.642159383,580
25,0.51066836,148.4666667,16148.96667,755.8018721,5.943837754,122.8333333,2.118881119,1.226979906,1.389703588,635
26,0.49181192,125.4,10992.96667,457.4049931,3.966712899,75.5,1.135005974,0.872231847,1.043550624,569
27,0.50249354,96.46666667,7710.166667,230.6131605,1.992023928,50.16666667,0.354688951,0.462277916,0.577068794,371
28,0.433481274,51.2,1897.866667,173.5853659,3.926829268,68.33333333,3.133333333,1.741192676,0.936585366,571
29,0.481116744,104.0666667,7607.366667,281.4069051,2.729963009,54.16666667,0.65821256,0.507932487,0.769913687,377
30,0.496139323,134.9333333,12437.86667,480.8453608,4.144329897,78.83333333,1.087529976,0.825540247,1.043298969,569
31,0.505850165,133.6,13172.8,480.7591241,3.97080292,79.5,0.870905588,0.804029499,0.975182482,565
32,0.475911145,71.33333333,3963.6,120.8414634,1.951219512,65,0.605947955,0.515675682,0.43495935,231
33,0.540256596,60.8,2628.8,50.36015326,0.942528736,72.5,0.481949458,0.326478975,0.232950192,166
34,0.450479134,96.93333333,7525.2,380.0606061,3.696969697,44.33333333,1.517241379,0.621866472,0.979124579,345
35,0.362463856,75.73333333,5390.266667,496.0368098,5.607361963,68.83333333,2.533333333,1.811284109,1.393865031,458
36,0.531788748,51.2,1751.2,35.30645161,0.741935484,68,0.602822581,0.382597338,0.206451613,234
37,0.33737335,72,4930.8,535.9565217,6.608695652,74,5.950617284,2.120168996,1.565217391,475
38,0.45937485,80.73333333,4475.366667,211.4346457,3.051968504,51.66666667,0.99687011,0.59176568,0.762834646,324
39,0.450168887,93.2,6538.666667,250.2040816,3.367346939,89,0.577427822,0.693192564,0.713265306,280
40,0.381353219,76.8,4534.4,371.6721311,5.344262295,68,2.114754098,1.280532042,1.259016393,357
41,0.519801135,149.6,14965.86667,416.4897959,3.361781076,86.83333333,0.538324421,0.528354011,0.832653061,397
42,0.460492913,71.2,3724,179.0384615,2.730769231,52.66666667,0.927419355,0.616602028,0.684615385,337
43,0.487926839,89,5433.1,157.4811594,2.023188406,84.16666667,0.631067961,0.604683503,0.515942029,308
44,0.502004107,89.2,5322.266667,131.5222405,1.828665568,77,0.404761905,0.403335135,0.440856672,199
45,0.51857918,101.6666667,6786.166667,162.9983987,1.782225781,84.83333333,0.75020475,0.550137918,0.488390713,317
46,0.538653425,45.6,1405.866667,26.79542567,0.686149936,67.83333333,0.549937578,0.294996341,0.173824651,157
47,0.508076037,51.46666667,1890.666667,43.69799692,0.99229584,58.33333333,0.560755337,0.334619627,0.237904468,162
48,0.487572676,90.46666667,6609.366667,224.5537939,2.08380521,38.83333333,0.536050157,0.464294394,0.614722537,342
49,0.562808274,23.46666667,400,6.825938567,0.368600683,43.5,0.588737201,0.196818672,0.080091013,68
50,0.447571943,53.8,2022.966667,80.38278146,1.724503311,38.66666667,0.303921569,0.37167366,0.427549669,149
51,0.555755988,34.4,773.6,13.66784452,0.466431095,72,0.586879433,0.300720347,0.12155477,160
52,0.511101452,88.06666667,5235.766667,124.7601271,1.710881652,86.16666667,0.617405583,0.507983021,0.419698173,295
53,0.413356208,59.26666667,2912.3,170.3099415,2.619883041,37.83333333,0.852112676,0.641870403,0.693177388,227
54,0.461454653,76.06666667,4122.566667,138.1865922,2.11396648,46.66666667,0.450199203,0.398267212,0.509944134,152
55,0.449738528,48.4,2135.2,85.408,1.44,45.5,0.245689655,0.492563363,0.3872,196
56,0.507880426,48.66666667,1571.066667,35.65204236,0.889561271,37.5,0.473527218,0.232420935,0.220877458,100
57,0.548099552,170.6666667,19980.8,612.9079755,4.024539877,89.83333333,0.787790698,0.721995073,1.047034765,557
58,0.444351118,80.93333333,4592.666667,268.0544747,3.517509728,52.5,1.529411765,0.783621748,0.944747082,387
59,0.453682752,57.6,2376.666667,91.64524422,1.742930591,46.83333333,0.312586445,0.44281838,0.444215938,192
60,0.507950668,112.6666667,9496.666667,273.4165067,2.522072937,62.66666667,0.373401535,0.471544302,0.648752399,376
61,0.49541816,67.13333333,3193.366667,84.4061674,1.242290749,71.33333333,0.408,0.484834535,0.354889868,269
62,0.509740381,62.73333333,2700.566667,61.42304776,1.178165277,61.66666667,0.473646724,0.359861843,0.285367703,171
63,0.54753301,16.4,179.8666667,3.254523522,0.25331725,40.66666667,0.587100663,0.190319851,0.059348613,79
64,0.54857111,134.6666667,15648,357.260274,2.776255708,74.66666667,0.313078704,0.465459861,0.614916286,376
65,0.501602936,135.2666667,12065.1,375.8598131,3.358255452,77.33333333,0.566771819,0.547318129,0.84278297,398
66,0.522605848,48.4,1599.866667,33.37691238,0.867872045,64.83333333,0.563610519,0.349885376,0.201947149,189
67,0.567132983,18,240.4,4.074576271,0.26440678,55.83333333,0.625649913,0.239995983,0.061016949,115
68,0.543392609,45.73333333,1417.466667,26.47820672,0.732254047,58.83333333,0.495919648,0.242152652,0.170859278,39
69,0.488430175,121.6,10116.8,287.4090909,2.704545455,94.5,0.604166667,0.631861583,0.690909091,319
71,0.500051911,48,1731.066667,42.08427877,0.946515397,49.66666667,0.374905518,0.288733897,0.233387358,129
72,0.55656499,26,475.8666667,8.329054842,0.329054842,61.16666667,0.656177156,0.224299274,0.091015169,92
73,0.493188427,47.4,2661.5,68.06905371,1.069053708,41,0.332565284,0.293943386,0.242455243,130
74,0.549509456,24.8,544.4,9.68683274,0.348754448,43.83333333,0.571675302,0.191507907,0.088256228,69
75,0.587656015,20.06666667,280.3,4.602627258,0.266009852,54.33333333,0.511326861,0.231332271,0.065900383,86
76,0.444730819,144.8,16755.46667,696.2105263,5.457063712,103.6666667,1.916666667,1.181845494,1.2033241,413
77,0.455187884,95.66666667,6355.9,298.399061,3.183098592,50,1.018604651,0.583714081,0.89827856,351
78,0.518256891,32.6,787.7666667,16.67819337,0.519407198,42.16666667,0.56215847,0.262067917,0.138038109,136
79,0.409025559,60.66666667,3288.666667,194.9802372,2.664031621,56.33333333,0.585714286,0.888923931,0.719367589,282
80,0.383921564,32.4,761.4666667,117.7525773,3.917525773,24.33333333,6.724637681,1.013198058,1.002061856,297
81,0.503443867,54.66666667,1997.6,46.89201878,0.957746479,38.83333333,0.422018349,0.256365781,0.256651017,99
82,0.506177028,67.8,3597.366667,81.3270535,1.314242653,51,0.358,0.293207316,0.306556142,116
